order_id,order_date,customer_city,product_category,product_name,unit_price,cost_price,quantity,discount_percent,is_returned,payment_mode,delivery_time_days,revenue,cost,net_profit,return_loss
ORD100000,2024-07-01,Mumbai,Electronics,Headphones,1447.64,949.37,1,20.0,0,Net Banking,1,1158.112,949.37,208.74200000000008,0.0
ORD100001,2024-07-01,Mumbai,Electronics,Mobile Phone,1240.04,930.66,5,5.0,0,Net Banking,4,5890.19,4653.3,1236.8899999999994,0.0
ORD100002,2024-07-01,Hyderabad,Home Essentials,Pressure Cooker,4066.21,2446.33,2,15.0,0,Cash,4,6912.557,4892.66,2019.897,0.0
ORD100003,2024-07-01,Kolkata,FMCG,Soap,554.45,346.08,3,20.0,0,UPI,8,1330.6800000000003,1038.24,292.4400000000003,0.0
ORD100004,2024-07-01,Pune,Electronics,Laptop,486.12,327.3,5,10.0,0,UPI,1,2187.54,1636.5,551.04,0.0
ORD100005,2024-07-01,Chennai,Fashion,Jeans,4927.59,4010.22,1,15.0,0,Card,3,4188.4515,4010.22,178.23150000000032,0.0
ORD100006,2024-07-01,Bangalore,FMCG,Soap,3383.86,2624.03,1,20.0,0,Cash,3,2707.088,2624.03,83.05799999999999,0.0
ORD100007,2024-07-01,Hyderabad,Grocery,Atta 5kg,4948.66,3760.98,5,5.0,0,UPI,4,23506.135,18804.9,4701.234999999997,0.0
ORD100008,2024-07-01,Kolkata,Electronics,Laptop,2065.71,1273.61,5,10.0,0,Net Banking,7,9295.695,6368.049999999999,2927.6450000000004,0.0
ORD100009,2024-07-01,Chennai,Grocery,Rice 5kg,1397.91,924.94,5,20.0,0,Net Banking,10,5591.64,4624.700000000001,966.9399999999996,0.0
ORD100010,2024-07-01,Hyderabad,FMCG,Soap,4986.9,3164.6,4,0.0,0,UPI,3,19947.6,12658.4,7289.199999999999,0.0
ORD100011,2024-07-01,Chennai,Fashion,Shoes,2168.58,1335.59,4,20.0,1,Card,9,6939.456,5342.36,1597.0960000000005,6939.456
ORD100012,2024-07-01,Kolkata,Electronics,Headphones,3631.54,2797.84,5,10.0,0,Card,2,16341.93,13989.2,2352.7299999999996,0.0
ORD100013,2024-07-01,Bangalore,Grocery,Rice 5kg,2323.25,1947.94,3,20.0,0,UPI,5,5575.8,5843.82,-268.0199999999995,0.0
ORD100014,2024-07-01,Kolkata,Home Essentials,Bedsheet,1074.66,745.25,2,20.0,1,UPI,10,1719.4560000000001,1490.5,228.95600000000013,1719.4560000000001
ORD100015,2024-07-01,Bangalore,Grocery,Rice 5kg,648.15,447.71,3,5.0,0,UPI,2,1847.2274999999997,1343.1299999999999,504.09749999999985,0.0
ORD100016,2024-07-01,Chennai,Grocery,Rice 5kg,4892.12,3586.79,2,5.0,0,Cash,5,9295.028,7173.58,2121.4480000000003,0.0
ORD100017,2024-07-01,Pune,Home Essentials,Pressure Cooker,4825.38,4015.82,2,10.0,0,Card,8,8685.684000000001,8031.64,654.0440000000008,0.0
ORD100018,2024-07-01,Pune,Grocery,Rice 5kg,1314.74,809.89,1,20.0,0,Cash,1,1051.7920000000001,809.89,241.90200000000016,0.0
ORD100019,2024-07-01,Mumbai,Electronics,Mobile Phone,430.26,261.53,3,0.0,0,Card,8,1290.78,784.5899999999999,506.19000000000005,0.0
ORD100020,2024-07-01,Delhi,Home Essentials,Mixer Grinder,3644.43,2990.6,5,15.0,0,Net Banking,7,15488.827499999998,14953.0,535.8274999999976,0.0
ORD100021,2024-07-01,Delhi,Electronics,Mobile Phone,3329.02,2292.28,4,15.0,0,UPI,2,11318.668,9169.12,2149.547999999999,0.0
ORD100022,2024-07-01,Mumbai,Grocery,Oil 1L,1762.58,1437.24,2,5.0,0,Net Banking,3,3348.9019999999996,2874.48,474.42199999999957,0.0
ORD100023,2024-07-01,Hyderabad,Fashion,Jeans,2366.88,1937.58,1,15.0,0,UPI,1,2011.848,1937.58,74.26800000000003,0.0
ORD100024,2024-07-01,Chennai,Home Essentials,Mixer Grinder,4848.08,4031.62,2,5.0,0,Net Banking,4,9211.351999999999,8063.24,1148.1119999999992,0.0
ORD100025,2024-07-01,Kolkata,Grocery,Rice 5kg,906.72,544.52,4,10.0,0,Net Banking,5,3264.192,2178.08,1086.112,0.0
ORD100026,2024-07-01,Hyderabad,Home Essentials,Bedsheet,3620.2,2312.22,3,5.0,1,UPI,6,10317.569999999998,6936.66,3380.909999999998,10317.569999999998
ORD100027,2024-07-01,Mumbai,Electronics,Headphones,2436.26,2021.72,5,5.0,0,UPI,3,11572.235,10108.6,1463.6350000000002,0.0
ORD100028,2024-07-01,Mumbai,Home Essentials,Mixer Grinder,3408.54,2245.55,1,20.0,0,UPI,10,2726.8320000000003,2245.55,481.28200000000015,0.0
ORD100029,2024-07-01,Mumbai,Grocery,Oil 1L,2959.99,2162.85,3,5.0,0,Card,4,8435.9715,6488.549999999999,1947.4215000000004,0.0
ORD100030,2024-07-01,Bangalore,Grocery,Rice 5kg,3391.28,2289.11,3,0.0,0,UPI,2,10173.84,6867.33,3306.51,0.0
