order_id,order_date,customer_city,product_category,product_name,unit_price,cost_price,quantity,discount_percent,is_returned,payment_mode,delivery_time_days
ORD100000,2024-07-01,Mumbai,Electronics,Headphones,1447.64,949.37,1,20.0,0,Net Banking,1
ORD100001,2024-07-01,Mumbai,Electronics,Mobile Phone,1240.04,930.66,5,5.0,0,Net Banking,4
ORD100002,2024-07-01,Hyderabad,Home Essentials,Pressure Cooker,4066.21,2446.33,2,15.0,0,Cash,4
ORD100003,2024-07-01,Kolkata,FMCG,Soap,554.45,346.08,3,20.0,0,UPI,8
ORD100004,2024-07-01,Pune,Electronics,Laptop,486.12,327.3,5,10.0,0,UPI,1
ORD100005,2024-07-01,Chennai,Fashion,Jeans,4927.59,4010.22,1,15.0,0,Card,3
ORD100006,2024-07-01,Bangalore,FMCG,Soap,3383.86,2624.03,1,20.0,0,Cash,3
ORD100007,2024-07-01,Hyderabad,Grocery,Atta 5kg,4948.66,3760.98,5,5.0,0,UPI,4
ORD100008,2024-07-01,Kolkata,Electronics,Laptop,2065.71,1273.61,5,10.0,0,Net Banking,7
ORD100009,2024-07-01,Chennai,Grocery,Rice 5kg,1397.91,924.94,5,20.0,0,Net Banking,10
ORD100010,2024-07-01,Hyderabad,FMCG,Soap,4986.9,3164.6,4,0.0,0,UPI,3
ORD100011,2024-07-01,Chennai,Fashion,Shoes,2168.58,1335.59,4,20.0,1,Card,9
ORD100012,2024-07-01,Kolkata,Electronics,Headphones,3631.54,2797.84,5,10.0,0,Card,2
ORD100013,2024-07-01,Bangalore,Grocery,Rice 5kg,2323.25,1947.94,3,20.0,0,UPI,5
ORD100014,2024-07-01,Kolkata,Home Essentials,Bedsheet,1074.66,745.25,2,20.0,1,UPI,10
ORD100015,2024-07-01,Bangalore,Grocery,Rice 5kg,648.15,447.71,3,5.0,0,UPI,2
ORD100016,2024-07-01,Chennai,Grocery,Rice 5kg,4892.12,3586.79,2,5.0,0,Cash,5
ORD100017,2024-07-01,Pune,Home Essentials,Pressure Cooker,4825.38,4015.82,2,10.0,0,Card,8
ORD100018,2024-07-01,Pune,Grocery,Rice 5kg,1314.74,809.89,1,20.0,0,Cash,1
ORD100019,2024-07-01,Mumbai,Electronics,Mobile Phone,430.26,261.53,3,0.0,0,Card,8
ORD100020,2024-07-01,Delhi,Home Essentials,Mixer Grinder,3644.43,2990.6,5,15.0,0,Net Banking,7
ORD100021,2024-07-01,Delhi,Electronics,Mobile Phone,3329.02,2292.28,4,15.0,0,UPI,2
ORD100022,2024-07-01,Mumbai,Grocery,Oil 1L,1762.58,1437.24,2,5.0,0,Net Banking,3
ORD100023,2024-07-01,Hyderabad,Fashion,Jeans,2366.88,1937.58,1,15.0,0,UPI,1
ORD100024,2024-07-01,Chennai,Home Essentials,Mixer Grinder,4848.08,4031.62,2,5.0,0,Net Banking,4
ORD100025,2024-07-01,Kolkata,Grocery,Rice 5kg,906.72,544.52,4,10.0,0,Net Banking,5
ORD100026,2024-07-01,Hyderabad,Home Essentials,Bedsheet,3620.2,2312.22,3,5.0,1,UPI,6
ORD100027,2024-07-01,Mumbai,Electronics,Headphones,2436.26,2021.72,5,5.0,0,UPI,3
ORD100028,2024-07-01,Mumbai,Home Essentials,Mixer Grinder,3408.54,2245.55,1,20.0,0,UPI,10
ORD100029,2024-07-01,Mumbai,Grocery,Oil 1L,2959.99,2162.85,3,5.0,0,Card,4
ORD100030,2024-07-01,Bangalore,Grocery,Rice 5kg,3391.28,2289.11,3,0.0,0,UPI,2
ORD100031,2024-07-01,Pune,Fashion,Shoes,1399.48,1166.21,1,5.0,0,Cash,8
ORD100032,2024-07-01,Kolkata,Home Essentials,Bedsheet,1582.33,1338.59,5,0.0,0,Card,2
ORD100033,2024-07-01,,FMCG,Soap,4459.59,3503.47,2,10.0,0,Cash,6
ORD100034,2024-07-01,Delhi,FMCG,Toothpaste,2493.81,2060.72,1,0.0,0,Card,1
ORD100035,2024-07-01,,FMCG,Soap,3221.86,2144.11,4,20.0,0,UPI,2
ORD100036,2024-07-01,Mumbai,Fashion,Shoes,276.54,191.45,5,5.0,0,UPI,5
ORD100037,2024-07-01,Bangalore,Electronics,Laptop,1129.38,748.08,1,10.0,0,Net Banking,10
ORD100038,2024-07-01,Chennai,Fashion,T-shirt,4336.57,3660.29,2,15.0,0,Card,7
ORD100039,2024-07-01,Kolkata,Fashion,Jeans,880.07,682.34,4,0.0,0,Cash,4
ORD100040,2024-07-02,Bangalore,FMCG,Soap,1192.33,912.14,4,10.0,0,UPI,5
ORD100041,2024-07-02,Bangalore,Home Essentials,Pressure Cooker,3429.64,2781.15,3,0.0,0,Card,3
ORD100042,2024-07-02,Pune,FMCG,Soap,631.17,447.27,3,15.0,0,UPI,7
ORD100043,2024-07-02,Pune,Fashion,Jeans,317.49,225.1,5,20.0,0,Cash,6
ORD100044,2024-07-02,Hyderabad,Electronics,Headphones,4611.78,3485.53,1,10.0,0,Net Banking,6
ORD100045,2024-07-02,Hyderabad,FMCG,Toothpaste,723.71,510.3,4,5.0,0,Card,7
